(0.2, '-high :: -word_boundary :: +atr')
(0.2, '-high :: -word_boundary :: -atr')
(0.2, '-high :: -word_boundary :: +word_boundary')
(0.2, '-high :: -word_boundary :: -word_boundary')
(0.2000083397545469, '+low :: +high :: +high')
(0.2, '+low :: +high :: -high')
(0.2, '+low :: +high :: +low')
(0.2000083397545469, '+low :: +high :: -low')
(0.2000083397545469, '+low :: +high :: +atr')
(0.2, '+low :: +high :: -atr')
(0.9999546021312976, '+low :: +high :: +word_boundary')
(0.2, '+low :: +high :: -word_boundary')
(0.19999999999999996, '+low :: -high :: +high')
(0.9999546021312976, '+low :: -high :: -high')
(0.2, '+low :: -high :: +low')
(0.9999546021312976, '+low :: -high :: -low')
(0.9999546021312976, '+low :: -high :: +atr')
(0.19999999999999996, '+low :: -high :: -atr')
(0.9999546021312976, '+low :: -high :: +word_boundary')
(0.2, '+low :: -high :: -word_boundary')
(0.2, '+low :: +low :: +high')
(0.9999546021312976, '+low :: +low :: -high')
(0.2, '+low :: +low :: +low')
(0.9999546021312976, '+low :: +low :: -low')
(0.9999546021312976, '+low :: +low :: +atr')
(0.2, '+low :: +low :: -atr')
(0.2, '+low :: +low :: +word_boundary')
(0.2, '+low :: +low :: -word_boundary')
(0.2000083397545469, '+low :: -low :: +high')
(0.2, '+low :: -low :: -high')
(0.2, '+low :: -low :: +low')
(0.2000083397545469, '+low :: -low :: -low')
(0.2000083397545469, '+low :: -low :: +atr')
(0.19999999999999996, '+low :: -low :: -atr')
(0.9999546021312976, '+low :: -low :: +word_boundary')
(0.2, '+low :: -low :: -word_boundary')
(0.2000083397545469, '+low :: +atr :: +high')
(0.2, '+low :: +atr :: -high')
(0.2, '+low :: +atr :: +low')
(0.2000083397545469, '+low :: +atr :: -low')
(0.2000083397545469, '+low :: +atr :: +atr')
(0.19999999999999996, '+low :: +atr :: -atr')
(0.9999546021312976, '+low :: +atr :: +word_boundary')
(0.2, '+low :: +atr :: -word_boundary')
(0.2, '+low :: -atr :: +high')
(0.2, '+low :: -atr :: -high')
(0.2, '+low :: -atr :: +low')
(0.2, '+low :: -atr :: -low')
(0.2, '+low :: -atr :: +atr')
(0.2, '+low :: -atr :: -atr')
(0.9999546021312976, '+low :: -atr :: +word_boundary')
(0.2, '+low :: -atr :: -word_boundary')
(0.2, '+low :: +word_boundary :: +high')
(0.2, '+low :: +word_boundary :: -high')
(0.2, '+low :: +word_boundary :: +low')
(0.2, '+low :: +word_boundary :: -low')
(0.2, '+low :: +word_boundary :: +atr')
(0.2, '+low :: +word_boundary :: -atr')
(0.2, '+low :: +word_boundary :: +word_boundary')
(0.2, '+low :: +word_boundary :: -word_boundary')
(0.2, '+low :: -word_boundary :: +high')
(0.2, '+low :: -word_boundary :: -high')
(0.2, '+low :: -word_boundary :: +low')
(0.2, '+low :: -word_boundary :: -low')
(0.2, '+low :: -word_boundary :: +atr')
(0.2, '+low :: -word_boundary :: -atr')
(0.2, '+low :: -word_boundary :: +word_boundary')
(0.2, '+low :: -word_boundary :: -word_boundary')
(0.2, '-low :: +high :: +high')
(0.9999546021312976, '-low :: +high :: -high')
(0.9999546021312976, '-low :: +high :: +low')
(0.2, '-low :: +high :: -low')
(0.2, '-low :: +high :: +atr')
(0.2, '-low :: +high :: -atr')
(0.9999546021312976, '-low :: +high :: +word_boundary')
(0.2, '-low :: +high :: -word_boundary')
(0.20000000000000015, '-low :: -high :: +high')
(0.19999999999999996, '-low :: -high :: -high')
(0.2, '-low :: -high :: +low')
(0.20000000000000015, '-low :: -high :: -low')
(0.19999999999999996, '-low :: -high :: +atr')
(0.20000000000000015, '-low :: -high :: -atr')
(0.9999546021312976, '-low :: -high :: +word_boundary')
(0.2, '-low :: -high :: -word_boundary')
(0.2, '-low :: +low :: +high')
(0.19999999999999996, '-low :: +low :: -high')
(0.2, '-low :: +low :: +low')
(0.19999999999999996, '-low :: +low :: -low')
(0.19999999999999996, '-low :: +low :: +atr')
(0.2, '-low :: +low :: -atr')
(0.9999546021312976, '-low :: +low :: +word_boundary')
(0.2, '-low :: +low :: -word_boundary')
(0.20000000000000015, '-low :: -low :: +high')
(0.9999546021312976, '-low :: -low :: -high')
(0.9999546021312976, '-low :: -low :: +low')
(0.2000000000000001, '-low :: -low :: -low')
(0.2, '-low :: -low :: +atr')
(0.20000000000000015, '-low :: -low :: -atr')
(0.9999546021312976, '-low :: -low :: +word_boundary')
(0.2, '-low :: -low :: -word_boundary')
(0.2, '-low :: +atr :: +high')
(0.9999546021312976, '-low :: +atr :: -high')
(0.9999546021312976, '-low :: +atr :: +low')
(0.2, '-low :: +atr :: -low')
(0.2, '-low :: +atr :: +atr')
(0.2, '-low :: +atr :: -atr')
(0.2000083397545469, '-low :: +atr :: +word_boundary')
(0.2, '-low :: +atr :: -word_boundary')
(0.20000000000000015, '-low :: -atr :: +high')
(0.2, '-low :: -atr :: -high')
(0.2, '-low :: -atr :: +low')
(0.2000000000000001, '-low :: -atr :: -low')
(0.2, '-low :: -atr :: +atr')
(0.20000000000000015, '-low :: -atr :: -atr')
(0.9999546021312976, '-low :: -atr :: +word_boundary')
(0.2, '-low :: -atr :: -word_boundary')
(0.2, '-low :: +word_boundary :: +high')
(0.2, '-low :: +word_boundary :: -high')
(0.2, '-low :: +word_boundary :: +low')
(0.2, '-low :: +word_boundary :: -low')
(0.2, '-low :: +word_boundary :: +atr')
(0.2, '-low :: +word_boundary :: -atr')
(0.2, '-low :: +word_boundary :: +word_boundary')
(0.2, '-low :: +word_boundary :: -word_boundary')
(0.2, '-low :: -word_boundary :: +high')
(0.2, '-low :: -word_boundary :: -high')
(0.2, '-low :: -word_boundary :: +low')
(0.2, '-low :: -word_boundary :: -low')
(0.2, '-low :: -word_boundary :: +atr')
(0.2, '-low :: -word_boundary :: -atr')
(0.2, '-low :: -word_boundary :: +word_boundary')
(0.2, '-low :: -word_boundary :: -word_boundary')
(0.2, '+atr :: +high :: +high')
(0.9999546021312976, '+atr :: +high :: -high')
(0.9999546021312976, '+atr :: +high :: +low')
(0.2, '+atr :: +high :: -low')
(0.2, '+atr :: +high :: +atr')
(0.2, '+atr :: +high :: -atr')
(0.9999546021312976, '+atr :: +high :: +word_boundary')
(0.2, '+atr :: +high :: -word_boundary')
(0.20000000000000015, '+atr :: -high :: +high')
(0.19999999999999996, '+atr :: -high :: -high')
(0.2, '+atr :: -high :: +low')
(0.20000000000000015, '+atr :: -high :: -low')
(0.19999999999999996, '+atr :: -high :: +atr')
(0.20000000000000015, '+atr :: -high :: -atr')
(0.9999546021312976, '+atr :: -high :: +word_boundary')
(0.2, '+atr :: -high :: -word_boundary')
(0.2, '+atr :: +low :: +high')
(0.19999999999999996, '+atr :: +low :: -high')
(0.2, '+atr :: +low :: +low')
(0.19999999999999996, '+atr :: +low :: -low')
(0.19999999999999996, '+atr :: +low :: +atr')
(0.2, '+atr :: +low :: -atr')
(0.9999546021312976, '+atr :: +low :: +word_boundary')
(0.2, '+atr :: +low :: -word_boundary')
(0.20000000000000015, '+atr :: -low :: +high')
(0.9999546021312976, '+atr :: -low :: -high')
(0.9999546021312976, '+atr :: -low :: +low')
(0.20000000000000015, '+atr :: -low :: -low')
(0.2, '+atr :: -low :: +atr')
(0.20000000000000015, '+atr :: -low :: -atr')
(0.9999546021312976, '+atr :: -low :: +word_boundary')
(0.2, '+atr :: -low :: -word_boundary')
(0.2, '+atr :: +atr :: +high')
(0.9999546021312976, '+atr :: +atr :: -high')
(0.9999546021312976, '+atr :: +atr :: +low')
(0.2, '+atr :: +atr :: -low')
(0.2, '+atr :: +atr :: +atr')
(0.2, '+atr :: +atr :: -atr')
(0.2000083397545469, '+atr :: +atr :: +word_boundary')
(0.2, '+atr :: +atr :: -word_boundary')
(0.20000000000000015, '+atr :: -atr :: +high')
(0.2, '+atr :: -atr :: -high')
(0.2, '+atr :: -atr :: +low')
(0.20000000000000015, '+atr :: -atr :: -low')
(0.2, '+atr :: -atr :: +atr')
(0.20000000000000015, '+atr :: -atr :: -atr')
(0.9999546021312976, '+atr :: -atr :: +word_boundary')
(0.2, '+atr :: -atr :: -word_boundary')
(0.2, '+atr :: +word_boundary :: +high')
(0.2, '+atr :: +word_boundary :: -high')
(0.2, '+atr :: +word_boundary :: +low')
(0.2, '+atr :: +word_boundary :: -low')
(0.2, '+atr :: +word_boundary :: +atr')
(0.2, '+atr :: +word_boundary :: -atr')
(0.2, '+atr :: +word_boundary :: +word_boundary')
(0.2, '+atr :: +word_boundary :: -word_boundary')
(0.2, '+atr :: -word_boundary :: +high')
(0.2, '+atr :: -word_boundary :: -high')
(0.2, '+atr :: -word_boundary :: +low')
(0.2, '+atr :: -word_boundary :: -low')
(0.2, '+atr :: -word_boundary :: +atr')
(0.2, '+atr :: -word_boundary :: -atr')
(0.2, '+atr :: -word_boundary :: +word_boundary')
(0.2, '+atr :: -word_boundary :: -word_boundary')
(0.2, '-atr :: +high :: +high')
(0.2, '-atr :: +high :: -high')
(0.2, '-atr :: +high :: +low')
(0.2, '-atr :: +high :: -low')
(0.2, '-atr :: +high :: +atr')
(0.2, '-atr :: +high :: -atr')
(0.20000000000000015, '-atr :: +high :: +word_boundary')
(0.2, '-atr :: +high :: -word_boundary')
(0.2, '-atr :: -high :: +high')
(0.2, '-atr :: -high :: -high')
(0.2, '-atr :: -high :: +low')
(0.2, '-atr :: -high :: -low')
(0.2, '-atr :: -high :: +atr')
(0.2, '-atr :: -high :: -atr')
(0.9999546021312976, '-atr :: -high :: +word_boundary')
(0.2, '-atr :: -high :: -word_boundary')
(0.2, '-atr :: +low :: +high')
(0.2, '-atr :: +low :: -high')
(0.2, '-atr :: +low :: +low')
(0.2, '-atr :: +low :: -low')
(0.2, '-atr :: +low :: +atr')
(0.2, '-atr :: +low :: -atr')
(0.9999546021312976, '-atr :: +low :: +word_boundary')
