+word_boundary :: +high :: +word_boundary
+word_boundary :: -low :: +word_boundary
+word_boundary :: +atr :: +word_boundary
+word_boundary :: +high :: +word_boundary
+word_boundary :: -low :: +word_boundary
+word_boundary :: -atr :: +word_boundary
+word_boundary :: -high :: +word_boundary
+word_boundary :: -low :: +word_boundary
+word_boundary :: +atr :: +word_boundary
+word_boundary :: -high :: +word_boundary
+word_boundary :: -low :: +word_boundary
+word_boundary :: -atr :: +word_boundary
+word_boundary :: -high :: +word_boundary
+word_boundary :: +low :: +word_boundary
+word_boundary :: +high :: +high
+word_boundary :: +high :: -low
+word_boundary :: +high :: +atr
+word_boundary :: -low :: +high
+word_boundary :: -low :: -low
+word_boundary :: -low :: +atr
+word_boundary :: +atr :: +high
+word_boundary :: +atr :: -low
+word_boundary :: +atr :: +atr
+high :: +high :: +word_boundary
+high :: -low :: +word_boundary
+high :: +atr :: +word_boundary
-low :: +high :: +word_boundary
-low :: -low :: +word_boundary
-low :: +atr :: +word_boundary
+atr :: +high :: +word_boundary
+atr :: -low :: +word_boundary
+atr :: +atr :: +word_boundary
+word_boundary :: +high :: +high
+word_boundary :: +high :: -low
+word_boundary :: +high :: -atr
+word_boundary :: -low :: +high
+word_boundary :: -low :: -low
+word_boundary :: -low :: -atr
+word_boundary :: +atr :: +high
+word_boundary :: +atr :: -low
+word_boundary :: +atr :: -atr
+high :: +high :: +word_boundary
+high :: -low :: +word_boundary
+high :: -atr :: +word_boundary
-low :: +high :: +word_boundary
-low :: -low :: +word_boundary
-low :: -atr :: +word_boundary
+atr :: +high :: +word_boundary
+atr :: -low :: +word_boundary
+atr :: -atr :: +word_boundary
+word_boundary :: +high :: -high
+word_boundary :: +high :: -low
+word_boundary :: +high :: +atr
+word_boundary :: -low :: -high
+word_boundary :: -low :: -low
+word_boundary :: -low :: +atr
+word_boundary :: +atr :: -high
+word_boundary :: +atr :: -low
+word_boundary :: +atr :: +atr
+high :: -high :: +word_boundary
+high :: -low :: +word_boundary
+high :: +atr :: +word_boundary
-low :: -high :: +word_boundary
-low :: -low :: +word_boundary
-low :: +atr :: +word_boundary
+atr :: -high :: +word_boundary
+atr :: -low :: +word_boundary
+atr :: +atr :: +word_boundary
+word_boundary :: +high :: -high
+word_boundary :: +high :: -low
+word_boundary :: +high :: -atr
+word_boundary :: -low :: -high
+word_boundary :: -low :: -low
+word_boundary :: -low :: -atr
+word_boundary :: +atr :: -high
+word_boundary :: +atr :: -low
+word_boundary :: +atr :: -atr
+high :: -high :: +word_boundary
+high :: -low :: +word_boundary
+high :: -atr :: +word_boundary
-low :: -high :: +word_boundary
-low :: -low :: +word_boundary
-low :: -atr :: +word_boundary
+atr :: -high :: +word_boundary
+atr :: -low :: +word_boundary
+atr :: -atr :: +word_boundary
+word_boundary :: +high :: -high
+word_boundary :: +high :: +low
+word_boundary :: -low :: -high
+word_boundary :: -low :: +low
+word_boundary :: +atr :: -high
+word_boundary :: +atr :: +low
+high :: -high :: +word_boundary
+high :: +low :: +word_boundary
