X1
+word_boundary :: +high :: +word_boundary
+word_boundary :: -low :: +word_boundary
+word_boundary :: +atr :: +word_boundary
+word_boundary :: -atr :: +word_boundary
+word_boundary :: -high :: +word_boundary
+word_boundary :: +low :: +word_boundary
+word_boundary :: +high :: +high
+word_boundary :: +high :: -low
+word_boundary :: +high :: +atr
+word_boundary :: -low :: +high
+word_boundary :: -low :: -low
+word_boundary :: -low :: +atr
+word_boundary :: +atr :: +high
+word_boundary :: +atr :: -low
+word_boundary :: +atr :: +atr
+high :: +high :: +word_boundary
+high :: -low :: +word_boundary
+high :: +atr :: +word_boundary
-low :: +high :: +word_boundary
-low :: -low :: +word_boundary
-low :: +atr :: +word_boundary
+atr :: +high :: +word_boundary
+atr :: -low :: +word_boundary
+atr :: +atr :: +word_boundary
+word_boundary :: +high :: -atr
+word_boundary :: -low :: -atr
+word_boundary :: +atr :: -atr
+high :: -atr :: +word_boundary
-low :: -atr :: +word_boundary
+atr :: -atr :: +word_boundary
+word_boundary :: +high :: -high
+word_boundary :: -low :: -high
+word_boundary :: +atr :: -high
+high :: -high :: +word_boundary
-low :: -high :: +word_boundary
+atr :: -high :: +word_boundary
+word_boundary :: +high :: +low
+word_boundary :: -low :: +low
+word_boundary :: +atr :: +low
+high :: +low :: +word_boundary
-low :: +low :: +word_boundary
+atr :: +low :: +word_boundary
+word_boundary :: -atr :: +high
+word_boundary :: -atr :: -low
+word_boundary :: -atr :: +atr
-atr :: +high :: +word_boundary
-atr :: -low :: +word_boundary
-atr :: +atr :: +word_boundary
+word_boundary :: -atr :: -atr
-atr :: -atr :: +word_boundary
+word_boundary :: -atr :: -high
-atr :: -high :: +word_boundary
+word_boundary :: -atr :: +low
-atr :: +low :: +word_boundary
+word_boundary :: -high :: +high
+word_boundary :: -high :: -low
+word_boundary :: -high :: +atr
-high :: +high :: +word_boundary
-high :: -low :: +word_boundary
-high :: +atr :: +word_boundary
+word_boundary :: -high :: -atr
-high :: -atr :: +word_boundary
+word_boundary :: -high :: -high
-high :: -high :: +word_boundary
+word_boundary :: -high :: +low
-high :: +low :: +word_boundary
+word_boundary :: +low :: +high
+word_boundary :: +low :: -low
+word_boundary :: +low :: +atr
+low :: +high :: +word_boundary
+low :: -low :: +word_boundary
+low :: +atr :: +word_boundary
+word_boundary :: +low :: -atr
+low :: -atr :: +word_boundary
+word_boundary :: +low :: -high
+low :: -high :: +word_boundary
+word_boundary :: +low :: +low
+low :: +low :: +word_boundary
+high :: +high :: +high
+high :: +high :: -low
+high :: +high :: +atr
+high :: -low :: +high
+high :: -low :: -low
+high :: -low :: +atr
+high :: +atr :: +high
+high :: +atr :: -low
+high :: +atr :: +atr
-low :: +high :: +high
-low :: +high :: -low
-low :: +high :: +atr
-low :: -low :: +high
-low :: -low :: -low
-low :: -low :: +atr
-low :: +atr :: +high
-low :: +atr :: -low
-low :: +atr :: +atr
+atr :: +high :: +high
+atr :: +high :: -low
+atr :: +high :: +atr
+atr :: -low :: +high
+atr :: -low :: -low
