Feature,Candidate,Step,N_Init,Strategy,Run
-high :: +atr :: +word_boundary,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
-low :: +high :: +word_boundary,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
-low :: -low :: +word_boundary,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
-low :: +atr :: +word_boundary,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
-atr :: +high :: +word_boundary,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
-atr :: -low :: +word_boundary,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
-atr :: +atr :: +word_boundary,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
+word_boundary :: -high :: +high,('$', 'ta', 'pi', 'te', '$'),1,0,eig,0
+word_boundary :: -high :: -low,('$', 'ta', 'pi', 'te', '$'),1,0,eig,0
+word_boundary :: -high :: +atr,('$', 'ta', 'pi', 'te', '$'),1,0,eig,0
+word_boundary :: +low :: +high,('$', 'ta', 'pi', 'te', '$'),1,0,eig,0
+word_boundary :: +low :: -low,('$', 'ta', 'pi', 'te', '$'),1,0,eig,0
+word_boundary :: +low :: +atr,('$', 'ta', 'pi', 'te', '$'),1,0,eig,0
-high :: +high :: -high,('$', 'ta', 'pi', 'te', '$'),1,0,eig,0
-high :: +high :: -low,('$', 'ta', 'pi', 'te', '$'),1,0,eig,0
-high :: +high :: +atr,('$', 'ta', 'pi', 'te', '$'),1,0,eig,0
-high :: -low :: -high,('$', 'ta', 'pi', 'te', '$'),1,0,eig,0
-high :: -low :: -low,('$', 'ta', 'pi', 'te', '$'),1,0,eig,0
-high :: -low :: +atr,('$', 'ta', 'pi', 'te', '$'),1,0,eig,0
-high :: +atr :: -high,('$', 'ta', 'pi', 'te', '$'),1,0,eig,0
-high :: +atr :: -low,('$', 'ta', 'pi', 'te', '$'),1,0,eig,0
-high :: +atr :: +atr,('$', 'ta', 'pi', 'te', '$'),1,0,eig,0
+low :: +high :: -high,('$', 'ta', 'pi', 'te', '$'),1,0,eig,0
+low :: +high :: -low,('$', 'ta', 'pi', 'te', '$'),1,0,eig,0
+low :: +high :: +atr,('$', 'ta', 'pi', 'te', '$'),1,0,eig,0
+low :: -low :: -high,('$', 'ta', 'pi', 'te', '$'),1,0,eig,0
+low :: -low :: -low,('$', 'ta', 'pi', 'te', '$'),1,0,eig,0
+low :: -low :: +atr,('$', 'ta', 'pi', 'te', '$'),1,0,eig,0
+low :: +atr :: -high,('$', 'ta', 'pi', 'te', '$'),1,0,eig,0
