+consonantal :: +approximant :: +word_boundary
+consonantal :: +front :: +sonorant
+anterior :: -continuant :: -sonorant
-sonorant :: +strident :: +word_boundary
+anterior :: +voice :: -front
+voice :: +front :: -strident
-consonantal :: +labial :: -consonantal
+anterior :: +dorsal :: +strident
-high :: +consonantal :: +tense
+anterior :: +continuant :: -anterior
+high :: +low :: -continuant
-strident :: +front :: -sonorant
-consonantal :: +lateral :: +consonantal
+tense :: +nasal :: +front
+voice :: -approximant :: -low
+spread :: -anterior :: -tense
+voice :: +low :: +sonorant
+strident :: +strident :: +labial
+nasal :: +continuant :: -high
+continuant :: -strident :: +labial
+approximant :: +anterior :: -sonorant
-consonantal :: +coronal :: +voice
-back :: -voice :: -continuant
+back :: +sonorant :: +continuant
+voice :: +coronal :: +coronal
+nasal :: +back :: +continuant
-back :: -high :: -anterior
+low :: +strident :: -consonantal
+consonantal :: -back :: +lateral
+low :: -consonantal :: +strident
-anterior :: +lateral :: +coronal
-strident :: +voice :: +dorsal
+front :: +anterior :: -back
-approximant :: -consonantal :: -continuant
+tense :: +nasal :: -sonorant
+nasal :: -strident :: +coronal
-front :: +lateral :: +coronal
-front :: +continuant :: +approximant
-approximant :: +strident :: +anterior
-front :: -strident :: +labial
-approximant :: +continuant :: +strident
-high :: -consonantal :: +anterior
-approximant :: +dorsal :: -tense
+continuant :: +sonorant :: -consonantal
+word_boundary :: +approximant :: +nasal
+coronal :: -tense :: -back
+continuant :: +strident :: +labial
+dorsal :: -approximant :: +low
+spread :: +voice :: +front
+sonorant :: +high :: +voice
-approximant :: +lateral :: +spread
-labial :: -tense :: -high
+lateral :: -back :: +nasal
+lateral :: +nasal :: +nasal
+spread :: +spread :: +consonantal
-strident :: +approximant :: +anterior
+anterior :: +anterior :: +sonorant
+labial :: -low :: +back
+low :: +spread :: +approximant
+dorsal :: -high :: +dorsal
+back :: +anterior :: -back
+high :: +back :: +continuant
+spread :: -continuant :: +voice
-labial :: -low :: +approximant
+back :: -labial :: +dorsal
+coronal :: -strident :: +coronal
+consonantal :: +spread :: +anterior
-tense :: +sonorant :: +anterior
+sonorant :: -high :: +back
+sonorant :: +sonorant :: -front
+spread :: +dorsal :: +anterior
-back :: +nasal :: -sonorant
+lateral :: +high :: +word_boundary
-consonantal :: +consonantal :: +back
+word_boundary :: -low :: +approximant
-labial :: -low :: +voice
+tense :: -strident :: -high
+lateral :: -voice :: +voice
-front :: -approximant :: -back
+low :: +sonorant :: -high
+labial :: +anterior :: -consonantal
-anterior :: +voice :: -approximant
+anterior :: +sonorant :: +approximant
-back :: +anterior :: -sonorant
+coronal :: +voice :: +coronal
-tense :: -voice :: -voice
-anterior :: +dorsal :: -anterior
-strident :: +approximant :: +lateral
-back :: -consonantal :: -back
-front :: +strident :: +word_boundary
-labial :: +spread :: +strident
-high :: +labial :: -tense
-anterior :: -tense :: +high
+continuant :: -continuant :: +strident
+approximant :: -low :: +continuant
+strident :: +tense :: -high
-low :: +front :: -back
-approximant :: +nasal :: +high
+sonorant :: +approximant :: +strident
-anterior :: -sonorant :: +continuant
+coronal :: +high :: -tense
+lateral :: -tense :: +lateral
+tense :: -back :: +strident
-back :: -voice :: +anterior
-anterior :: -anterior :: +back
-low :: -voice :: -high
-low :: +front :: +front
+nasal :: -approximant :: +coronal
+nasal :: +tense :: +anterior
+back :: +consonantal :: -tense
+voice :: +consonantal :: +voice
-back :: +front :: +anterior
+nasal :: -voice :: -front
+low :: -continuant :: -strident
-labial :: -front :: -sonorant
+approximant :: -consonantal :: +voice
+coronal :: -sonorant :: -labial
+low :: +dorsal :: -strident
+back :: -low :: +back
-voice :: +low :: +strident
-low :: -labial :: +spread
+spread :: +voice :: +consonantal
+strident :: +consonantal :: -low
-back :: -sonorant :: +lateral
+approximant :: -low :: -voice
-sonorant :: +low :: -approximant
-approximant :: -back :: -labial
-voice :: -approximant :: +spread
-continuant :: -consonantal :: -consonantal
+front :: -sonorant :: -approximant
+spread :: -continuant :: +strident
-back :: +voice :: +strident
+low :: +strident :: +high
-anterior :: +voice :: +voice
+word_boundary :: -high :: -consonantal
